Heartbeats are written to this file
[STOPBYICOUNT] Periodic at 100007 delta = 100007
[STOPBYICOUNT] Periodic at 200001 delta = 99994
[STOPBYICOUNT] Periodic at 300006 delta = 100005
[STOPBYICOUNT] Periodic at 400001 delta = 99995
[STOPBYICOUNT] Periodic at 500008 delta = 100007
[STOPBYICOUNT] Periodic at 600012 delta = 100004
[STOPBYICOUNT] Periodic at 700004 delta = 99992
[STOPBYICOUNT] Periodic at 800006 delta = 100002
[STOPBYICOUNT] Periodic at 900005 delta = 99999
[STOPBYICOUNT] Periodic at 1000007 delta = 100002
[STOPBYICOUNT] Periodic at 1100015 delta = 100008
[STOPBYICOUNT] Periodic at 1200008 delta = 99993
[STOPBYICOUNT] Periodic at 1300004 delta = 99996
[STOPBYICOUNT] Periodic at 1400004 delta = 100000
[STOPBYICOUNT] Periodic at 1500006 delta = 100002
[STOPBYICOUNT] Periodic at 1600003 delta = 99997
[STOPBYICOUNT] Periodic at 1700004 delta = 100001
[STOPBYICOUNT] Periodic at 1800001 delta = 99997
[STOPBYICOUNT] Periodic at 1900003 delta = 100002
[STOPBYICOUNT] Periodic at 2000002 delta = 99999
[STOPBYICOUNT] Periodic at 2100003 delta = 100001
[STOPBYICOUNT] Periodic at 2200006 delta = 100003
[STOPBYICOUNT] Periodic at 2300012 delta = 100006
[STOPBYICOUNT] Periodic at 2400019 delta = 100007
[STOPBYICOUNT] Periodic at 2500008 delta = 99989
[STOPBYICOUNT] Periodic at 2600002 delta = 99994
[STOPBYICOUNT] Periodic at 2700007 delta = 100005
[STOPBYICOUNT] Periodic at 2800002 delta = 99995
[STOPBYICOUNT] Periodic at 2900006 delta = 100004
[STOPBYICOUNT] Periodic at 3000011 delta = 100005
[STOPBYICOUNT] Periodic at 3100019 delta = 100008
[STOPBYICOUNT] Periodic at 3200008 delta = 99989
[STOPBYICOUNT] Periodic at 3300004 delta = 99996
[STOPBYICOUNT] Periodic at 3400017 delta = 100013
[STOPBYICOUNT] Periodic at 3500009 delta = 99992
[STOPBYICOUNT] Periodic at 3600001 delta = 99992
[STOPBYICOUNT] Periodic at 3700002 delta = 100001
[STOPBYICOUNT] Periodic at 3800019 delta = 100017
[STOPBYICOUNT] Periodic at 3900004 delta = 99985
[STOPBYICOUNT] Periodic at 4000001 delta = 99997
[STOPBYICOUNT] Periodic at 4100007 delta = 100006
[STOPBYICOUNT] Periodic at 4200007 delta = 100000
[STOPBYICOUNT] Periodic at 4300018 delta = 100011
[STOPBYICOUNT] Periodic at 4400001 delta = 99983
[STOPBYICOUNT] Periodic at 4500005 delta = 100004
[STOPBYICOUNT] Periodic at 4600005 delta = 100000
[STOPBYICOUNT] Periodic at 4700001 delta = 99996
[STOPBYICOUNT] Periodic at 4800002 delta = 100001
[STOPBYICOUNT] Periodic at 4900001 delta = 99999
[STOPBYICOUNT] Periodic at 5000008 delta = 100007
